Country,Continent,ManualOmit,Gender,Record,Athlete,Date,Meet,Place,cleantime,ht,time,wind,ratified,speed,pos_at_max_dist
Afganistan,Asia,,M,11.11 (0.0 m/s),Masoud Azizi,12-Apr-05,Islamic Solidarity Games,"Mecca, Saudi Arabia",11.11,FALSE,11.11,FALSE,FALSE,9.00090009,86.22862286
Albania,Europe,,M,10.56 (+1.1 m/s),Arben Makaj,16-Jun-03,,"Donnas, Italy",10.56,FALSE,10.56,FALSE,FALSE,9.46969697,90.71969697
Algeria,Africa,,M,10.34 (+0.8 m/s),Mustapha Kamel Selmi,8-Aug-87,All-Africa Games,"Nairobi, Kenya",10.34,FALSE,10.34,FALSE,FALSE,9.671179884,92.64990329
American Samoa,Oceania,,M,10.81 (-1.7 m/s),Kelsey Nakanelua,28-Apr-01,,"Honolulu, Hawaii, United States",10.81,FALSE,10.81,FALSE,FALSE,9.250693802,88.62164662
Andorra,Europe,,M,10.94 (+0.9 m/s),Esteve MartÃ_n,5-Jul-00,,"Barcelona, Spain",10.94,FALSE,10.94,FALSE,FALSE,9.140767824,87.56855576
Andorra,Europe,,M,10.94 (+0.4 m/s),Mikel de Sa,29-Jun-16,Catalunya Championships,"Barcelona, Spain",10.94,FALSE,10.94,FALSE,FALSE,9.140767824,87.56855576
Angola,Africa,,M,10.49,Afonso Ferraz,8-Jul-92,,"Maia, Portugal",10.49,FALSE,10.49,FALSE,FALSE,9.532888465,91.3250715
Anguilla,North America,,M,10.12 (+1.3 m/s),Zharnel Hughes,28-Mar-14,ISSA Championships,"Kingston, Jamaica",10.12,FALSE,10.12,FALSE,FALSE,9.881422925,94.66403162
Antigua and Barbuda,North America,,M,9.91 (-0.2 m/s),Daniel Bailey,17-Jul-09,Meeting Areva,"Paris, France",9.91,FALSE,9.91,FALSE,FALSE,10.09081736,96.67003027
Argentina,South America,,M,10.23 (+ 1.0 m/s),Carlos Gats,17-Jul-98,Ibero-American Championships,"Lisbon, Portugal",10.23,FALSE,10.23,FALSE,FALSE,9.775171065,93.64613881
Argentina,South America,,M,10.23 (+ 0.9 m/s) A,Gabriel SimÃ_n,25-Jun-99,South American Championships,"BogotÃ¡, Colombia",10.23,FALSE,10.23,FALSE,FALSE,9.775171065,93.64613881
Armenia,Europe,,M,10.45,Arman Andreasyan,16-May-09,,"Artashat, Armenia",10.45,FALSE,10.45,FALSE,FALSE,9.56937799,91.67464115
Aruba,South America,,M,10.42 (+1.7 m/s),Geronimo Goeloe,5-May-12,4to Circuito Fapur MayagÃ_ez,"MayagÃ_ez, Puerto Rico",10.42,FALSE,10.42,FALSE,FALSE,9.596928983,91.93857965
Australia,Oceania,,M,9.93 (+1.8 m/s),Patrick Johnson,5-May-03,Mito International,"Mito, Japan",9.93,FALSE,9.93,FALSE,FALSE,10.07049345,96.47532729
Austria,Europe,,M,10.15 (+0.9 m/s),Andreas Berger,15-Aug-88,,"Linz, Austria",10.15,FALSE,10.15,FALSE,FALSE,9.852216749,94.38423645
Azerbaijan,Europe,,M,10.08 (+1.3 m/s),Ramil Guliyev,13-Jun-09,,"Istanbul, Turkey",10.08,FALSE,10.08,FALSE,FALSE,9.920634921,95.03968254
Bahamas,North America,,M,9.91 (-0.5 m/s),Derrick Atkins,26-Aug-07,World Championships,"Osaka, Japan",9.91,FALSE,9.91,FALSE,FALSE,10.09081736,96.67003027
Bahrain,Asia,,M,10.03 (+0.9 m/s),Kemarley Brown,7-May-16,Kingston Invitational,"Kingston, Jamaica",10.03,FALSE,10.03,FALSE,FALSE,9.970089731,95.51345962
Bangladesh,Asia,,M,10.54,Mohd Mahbub Alam,26-Sep-99,South Asian Games,"Kathmandu, Nepal",10.54,FALSE,10.54,FALSE,FALSE,9.487666034,90.89184061
Barbados,North America,,M,9.87 (-0.2 m/s),Obadele Thompson,11-Sep-98,World Cup,"Johannesburg, South Africa",9.87,FALSE,9.87,FALSE,FALSE,10.13171226,97.06180344
