Country,Continent,pos_at_max_dist,cleantime,speed
Afghanistan,Asia,86.22862286,11.11,9.00090009
Albania,Europe,90.71969697,10.56,9.46969697
Algeria,Africa,92.64990329,10.34,9.671179884
American Samoa,Oceania,88.62164662,10.81,9.250693802
Andorra,Europe,87.56855575,10.94,9.140767824
Angola,Africa,91.67464114,10.45,9.56937799
Anguilla,North America,94.85148515,10.1,9.900990099
Antigua and Barbuda,North America,96.67003031,9.91,10.09081736
Argentina,South America,93.6461388,10.23,9.775171065
Armenia,Europe,91.67464114,10.45,9.56937799
Aruba,South America,93.28140215,10.27,9.737098345
Australia,Oceania,96.47532725,9.93,10.07049345
Austria,Europe,94.38423646,10.15,9.852216749
Azerbaijan,Europe,95.13406157,10.07,9.930486594
Bahamas,North America,96.67003031,9.91,10.09081736
Bahrain,Asia,96.47532725,9.93,10.07049345
Bangladesh,Asia,90.89184061,10.54,9.487666034
Barbados,North America,97.06180345,9.87,10.13171226
Belarus,Europe,93.28140215,10.27,9.737098345
Belgium,Europe,94.47731756,10.14,9.861932939
Belize,North America,92.02689722,10.41,9.606147935
Benin,Africa,92.91949564,10.31,9.699321048
Bermuda,North America,93.28140215,10.27,9.737098345
Bhutan,Asia,84.62897526,11.32,8.833922261
Bolivia,South America,92.47104248,10.36,9.652509653
Bosnia and Herzegovina,Europe,91.93857966,10.42,9.596928983
Botswana,Africa,93.92156863,10.2,9.803921569
Brazil,South America,95.8,10,10
British Virgin Islands,North America,93.46341463,10.25,9.756097561
Brunei,Asia,90.46270066,10.59,9.442870633
Bulgaria,Europe,94.57058243,10.13,9.871668312
Burkina Faso,Africa,94.47731756,10.14,9.861932939
Burundi,Africa,88.37638376,10.84,9.225092251
Cameroon,Africa,94.47731756,10.14,9.861932939
Canada,North America,97.35772362,9.84,10.16260163
Cape Verde,Africa,89.11627907,10.75,9.302325581
Cayman Islands,North America,96.28140707,9.95,10.05025126
Central African Republic,Africa,92.73959341,10.33,9.68054211
Chad,Africa,93.46341463,10.25,9.756097561
Chile,South America,94.85148515,10.1,9.900990099
China,Asia,95.8958959,9.99,10.01001001
Chinese Taipei,Asia,93.19066148,10.28,9.727626459
Colombia,South America,94.38423646,10.15,9.852216749
Combodia,Asia,89.11627907,10.75,9.302325581
Commonwealth of Dominica,North America,92.73959341,10.33,9.68054211
Comoros,Africa,92.29287091,10.38,9.633911368
Cook Islands,Oceania,87.32907931,10.97,9.115770283
Costa Rica,North America,92.82945737,10.32,9.689922481
Croatia,Europe,93.92156863,10.2,9.803921569
Cuba,North America,95.99198397,9.98,10.02004008
Cyprus,Europe,94.75766568,10.11,9.891196835
Czech Republic,Europe,93.6461388,10.23,9.775171065
Democratic Republic of the Congo,Africa,92.82945737,10.32,9.689922481
Denmark,Europe,93.10009718,10.29,9.718172983
Djibouti,Africa,88.7037037,10.8,9.259259259
Dominican Republic,North America,94.47731756,10.14,9.861932939
Ecuador,South America,94.94549058,10.09,9.910802775
Egypt,Africa,94.57058243,10.13,9.871668312
El Salvador,North America,92.56038648,10.35,9.661835749
Equatorial Guinea,Africa,92.11538461,10.4,9.615384615
Eritrea,Africa,90.54820416,10.58,9.451795841
Estonia,Europe,94.01373896,10.19,9.813542689
Ethiopia,Africa,90.29217719,10.61,9.425070688
Federated States of Micronesia,Oceania,88.45798708,10.83,9.233610342
Fiji,Oceania,93.92156863,10.2,9.803921569
Finland,Europe,93.82957885,10.21,9.794319295
France,Europe,97.16024341,9.86,10.14198783
French Polynesia,Oceania,91.06463878,10.52,9.505703422
Gabon,Africa,94.57058243,10.13,9.871668312
Gambia,Africa,94.29133858,10.16,9.842519685
Georgia,Europe,92.56038648,10.35,9.661835749
Germany,Europe,95.7042957,10.01,9.99000999
Ghana,Africa,95.99198397,9.98,10.02004008
Gibraltar,Europe,85.00443656,11.27,8.873114463
Greece,Europe,94.75766568,10.11,9.891196835
Grenada,North America,94.1986234,10.17,9.832841691
Guam,Oceania,89.86866791,10.66,9.380863039
Guatemala,North America,92.82945737,10.32,9.689922481
Guinea,Africa,90.71969697,10.56,9.46969697
Guinea-Bissau,Africa,92.47104248,10.36,9.652509653
Guyana,South America,94.66403162,10.12,9.881422925
Haiti,North America,94.29133858,10.16,9.842519685
Honduras,North America,93.73776908,10.22,9.784735812
Hong Kong,Asia,93.19066148,10.28,9.727626459
Hungary,Europe,95.03968254,10.08,9.920634921
Iceland,Europe,90.71969697,10.56,9.46969697
India,Asia,93.37231969,10.26,9.746588694
Indonesia,Asia,94.57058243,10.13,9.871668312
Iran,Asia,95.4183267,10.04,9.960159363
Iraq,Asia,89.95305165,10.65,9.389671362
Ireland,Europe,94.10609037,10.18,9.823182711
Israel,Asia,94.66403162,10.12,9.881422925
Italy,Europe,95.7042957,10.01,9.99000999
Ivory Coast,Africa,95.8958959,9.99,10.01001001
Jamaica,North America,99.99999999,9.58,10.43841336
Japan,Asia,95.8,10,10
Jordan,Asia,91.41221374,10.48,9.541984733
Kazakhstan,Asia,95.03968254,10.08,9.920634921
Kenya,Africa,93.6461388,10.23,9.775171065
Kiribati,Oceania,85.76544315,11.17,8.952551477
Kuwait,Asia,93.28140215,10.27,9.737098345
Kyrgyzstan,Asia,92.20404235,10.39,9.624639076
Laos,Asia,86.77536231,11.04,9.057971014
Latvia,Europe,94.10609037,10.18,9.823182711
Lebanon,Asia,90.46270066,10.59,9.442870633
Lesotho,Africa,94.75766568,10.11,9.891196835
Liberia,Africa,94.47731756,10.14,9.861932939
Liechtenstein,Europe,90.97815764,10.53,9.496676163
Lithuania,Europe,94.47731756,10.14,9.861932939
Luxembourg,Europe,92.02689722,10.41,9.606147935
Macau,Asia,89.61646398,10.69,9.35453695
Madagascar,Africa,94.10609037,10.18,9.823182711
Malawi,Africa,88.05147059,10.88,9.191176471
Malaysia,Asia,93.10009718,10.29,9.718172983
Maldives,Asia,92.73959341,10.33,9.68054211
Mali,Africa,94.85148515,10.1,9.900990099
Malta,Europe,91.32507149,10.49,9.532888465
Mauritania,Africa,89.19925512,10.74,9.310986965
Mauritius,Africa,94.57058243,10.13,9.871668312
Mexico,North America,93.82957885,10.21,9.794319295
Moldova,Europe,93.00970874,10.3,9.708737864
Monaco,Europe,90.97815764,10.53,9.496676163
Montenegro,Europe,90.80568721,10.55,9.478672986
Montserrat,North America,93.6461388,10.23,9.775171065
Morocco,Africa,94.94549058,10.09,9.910802775
Myanmar,Asia,91.23809524,10.5,9.523809524
Namibia,Africa,97.16024341,9.86,10.14198783
Nauru,Oceania,87.88990826,10.9,9.174311927
Nepal,Asia,89.44911298,10.71,9.337068161
Netherlands,Europe,96.67003031,9.91,10.09081736
New Caledonia,Oceania,92.11538461,10.4,9.615384615
New Zealand,Oceania,94.75766568,10.11,9.891196835
Niger,Africa,91.06463878,10.52,9.505703422
Nigeria,Africa,97.25888321,9.85,10.15228426
Niue,Oceania,90.89184061,10.54,9.487666034
Norfolk Island,Oceania,84.1827768,11.38,8.787346221
Northern Mariana Islands,Oceania,88.62164662,10.81,9.250693802
Norway,Europe,96.28140707,9.95,10.05025126
Oman,Asia,95.32338308,10.05,9.950248756
Pakistan,Asia,91.93857966,10.42,9.596928983
Palau,Oceania,91.06463878,10.52,9.505703422
Palestine,Asia,90.80568721,10.55,9.478672986
Panama,North America,95.60878243,10.02,9.98003992
Papua New Guinea,Oceania,92.11538461,10.4,9.615384615
Paraguay,South America,91.7624521,10.44,9.578544061
Peru,South America,93.19066148,10.28,9.727626459
Philippines,Asia,93.46341463,10.25,9.756097561
Poland,Europe,95.8,10,10
Portugal,Europe,97.16024341,9.86,10.14198783
Puerto Rico,North America,93.82957885,10.21,9.794319295
Qatar,Asia,96.67003031,9.91,10.09081736
Republic of Macedonia,Europe,90.29217719,10.61,9.425070688
Republic of the Congo,Africa,93.19066148,10.28,9.727626459
Romania,Europe,93.82957885,10.21,9.794319295
Russia,Asia,94.85148515,10.1,9.900990099
Rwanda,Africa,84.40528634,11.35,8.810572687
Saint Kitts and Nevis,North America,96.47532725,9.93,10.07049345
Saint Lucia,North America,94.29133858,10.16,9.842519685
Saint Vincent and the Grenadines,North America,92.73959341,10.19,9.68054211
Samoa,Oceania,92.47104248,10.36,9.652509653
San Marino,Europe,90.37735849,10.6,9.433962264
Sao Tome and Principe,Africa,90.29217719,10.61,9.425070688
Saudi Arabia,Asia,95.4183267,10.04,9.960159363
Senegal,Africa,94.1986234,10.17,9.832841691
Serbia,Europe,92.73959341,10.33,9.68054211
Seychelles,Africa,91.15128449,10.51,9.514747859
Sierra Leone,Africa,94.94549058,10.09,9.910802775
Singapore,Asia,92.38187078,10.37,9.643201543
Slovakia,Europe,93.82957885,10.21,9.794319295
Slovenia,Europe,94.57058243,10.13,9.871668312
Solomon Islands,Oceania,90.37735849,10.6,9.433962264
Somalia,Africa,84.33098591,11.36,8.802816901
South Africa,Africa,96.86552075,9.89,10.11122346
South Korea,Asia,94.29133858,10.16,9.842519685
Spain,Europe,95.22862823,10.06,9.940357853
Sri Lanka,Asia,93.37231969,10.26,9.746588694
Sudan,Africa,94.85148515,10.1,9.900990099
Suriname,South America,94.57058243,10.13,9.871668312
Swaziland,Africa,92.29287091,10.38,9.633911368
Sweden,Europe,94.10609037,10.18,9.823182711
Switzerland,Europe,94.66403162,10.12,9.881422925
Syria,Asia,89.78444236,10.67,9.372071228
Tajikistan,Asia,91.06463878,10.52,9.505703422
Tanzania,Africa,90.71969697,10.56,9.46969697
Thailand,Asia,93.6461388,10.23,9.775171065
Togo,Africa,93.00970874,10.3,9.708737864
Tonga,Oceania,90.71969697,10.56,9.46969697
Trinidad and Tobago,North America,97.55600816,9.82,10.18329939
Tunisia,Africa,92.29287091,10.38,9.633911368
Turkey,Asia,96.57258063,9.92,10.08064516
Turkmenistan,Asia,91.7624521,10.44,9.578544061
Turks and Caicos Islands,North America,93.19066148,10.28,9.727626459
Tuvalu,Oceania,83.74125874,11.44,8.741258741
Uganda,Africa,91.41221374,10.48,9.541984733
Ukraine,Europe,95.13406157,10.07,9.930486594
United Arab Emirates,Asia,89.28238583,10.73,9.319664492
United Kingdom,Europe,97.06180345,9.87,10.13171226
United States,North America,98.86480908,9.69,10.31991744
United States Virgin Islands,North America,93.92156863,10.2,9.803921569
Uruguay,South America,94.38423646,10.15,9.852216749
Uzbekistan,Asia,92.91949564,10.31,9.699321048
Vanuatu,Oceania,90.03759399,10.64,9.398496241
Venezuela,South America,93.00970874,10.3,9.708737864
Vietnam,Asia,92.02689722,10.41,9.606147935
Yemen,Asia,87.88990826,10.9,9.174311927
Zambia,Africa,95.51345962,10.03,9.970089731
Zimbabwe,Africa,96.86552075,9.89,10.11122346
